"TEAM" "CONF" "G" "W" "L" "WL_perc" "BARTHAG" "WAB" "ADJ_T" "ADJOE" "ADJDE" "pp100p_ratio" "EFG_O" "EFG_D" "EFG_ratio" "TOR" "TORD" "TOR_ratio" "ORB" "DRB" "FTR" "FTRD" "FTR_ratio" "X2P_O" "X2P_D" "X3P_O" "X3P_D" "first_year" "age" "all_games_played" "all_WL_perc" "MM" "F4" "CHAMP" "POSTSEASON" "post"
"Abilene_Christian" "Slnd" 28 7 21 0.25 0.0854 -16.8 64 90.6 111.3 0.814016172506739 47.3 55.3 0.855334538878843 19.8 20.8 0.951923076923077 24.1 33.9 28.3 44.7 0.633109619686801 42 55.2 37.8 37 1971 10 276 0.489 1 0 0 "no_postseason" "no"
"Air_Force" "MWC" 29 12 17 0.413793103448276 0.366 -10.2 61.6 105 110.2 0.952813067150635 53.6 53 1.01132075471698 19.2 20.2 0.95049504950495 29.6 32.6 30.8 35.5 0.867605633802817 53.9 51.5 35.4 36.6 1958 62 1685 0.437 4 0 0 "no_postseason" "no"
"Akron" "MAC" 34 20 14 0.588235294117647 0.6727 -6.9 64.1 103.4 97.1 1.0648815653965 49.4 45.5 1.08571428571429 18.8 18.8 1 33.3 31.5 31.3 41 0.763414634146341 46.7 43.8 34.9 33 1902 69 1575 0.589 4 0 0 "no_postseason" "no"
"Alabama" "SEC" 33 18 15 0.545454545454545 0.7881 -1.7 62.8 110.1 98.2 1.12118126272912 50.7 47.4 1.06962025316456 18.7 18.9 0.989417989417989 29.6 32 43.7 39.5 1.10632911392405 52.3 46.5 32.2 32.6 2000 21 591 0.384 1 0 0 "no_postseason" "no"
"Alabama_A&M" "SWAC" 28 8 20 0.285714285714286 0.0867 -15.9 63.5 92.8 113.9 0.814749780509219 44.7 50.5 0.885148514851485 21.9 18.3 1.19672131147541 35.2 36.4 41.6 41.3 1.00726392251816 45.4 50.7 29.1 33.3 1913 107 2737 0.615 21 0 0 "no_postseason" "no"
"Alabama_St." "SWAC" 27 17 10 0.62962962962963 0.2249 -7.2 68 94.4 105.2 0.897338403041825 48.2 46.9 1.02771855010661 19.7 19.2 1.02604166666667 36 29.2 34.6 35.6 0.971910112359551 46.4 45.3 35.4 33.6 1983 38 1109 0.481 4 0 0 "no_postseason" "no"
"Albany" "AE" 33 24 9 0.727272727272727 0.5749 -3.3 61.3 104.9 102.2 1.02641878669276 49.9 49.6 1.00604838709677 18.8 20.1 0.935323383084577 32.6 26 39 30.4 1.28289473684211 47.9 46.2 35.8 36.2 2000 21 641 0.498 5 0 0 "R64" "yes"
"Alcorn_St." "SWAC" 30 5 25 0.166666666666667 0.0502 -20.6 66.9 91.6 118.2 0.774957698815567 43.1 52.8 0.816287878787879 17.2 18.6 0.924731182795699 30.2 35.9 37.5 39.9 0.93984962406015 43.3 50.9 28.4 38.2 1978 43 1256 0.431 6 0 0 "no_postseason" "no"
"American" "Pat" 33 17 16 0.515151515151515 0.3886 -10.1 57.2 99.8 103.8 0.961464354527938 53.4 51 1.04705882352941 19.4 21.8 0.889908256880734 21.3 31.6 34.4 33 1.04242424242424 51.8 50.9 37.4 34.2 1967 54 1515 0.49 3 0 0 "no_postseason" "no"
"Appalachian_St." "SB" 29 12 17 0.413793103448276 0.2328 -11.7 65.8 95.8 106.2 0.902071563088512 45.6 50.6 0.901185770750988 20.6 17.2 1.19767441860465 31.4 29.8 33.6 37.6 0.893617021276596 44.5 51.5 31.6 32.3 1974 47 1366 0.487 2 0 0 "no_postseason" "no"
